
TTD - Therapeutic Targets Database Full Data Download File
Version 6.1.01 (2017.10.04)
Provided by BIDD   BioInformatic and Drug Design Group
                   Department of Pharmacy
                   National Unviersity of Singapore
                   http://bidd.nus.edu.sg/group/bidd.htm
Any question about data provided here, please contact with:
Prof. Chen (csccyz@nus.edu.sg) and Prof. Zhu (zhufeng@cqu.edu.cn, http://idrb.cqu.edu.cn/Peoples-PI.php)

--------------------------------------------------------------------------------------------------------

TTDDRUGID	LNM	Indication	ICD9	ICD10
D00BCG-D07KSG	tamoxifen + goserelin	Breast cancer	174, 175	C50
D00BCG-D0A9YA-D0B4IF-D0V9BD	Goserelin + Dutasteride + Ketoconazole + Bicalutamide	Cancer	140-229	C00-C96
D00BCG-D0V9BD	Goserelin + Bicalutamide	Prostate cancer	185	C61
D00BCG-D0W0BF	Goserelin + Anastrozole	Breast cancer	174, 175	C50
D00BCP	Chlorpropamide	Non-insulin dependent diabetes		E11.9
D00BCS	INT-0015/2008	Panic disorder	300.01, 300.21	F41.0
D00BCZ	XGP-610	Reperfusion injury		I00-I99
D00BDC	Morniflumate	Otitis media		H65-H67
D00BHL	EC20	Ovarian cancer	183	C56
D00BIY	CGP-48369	Hypertension	401	I10-I16
D00BKV	SB 418790	Type 2 diabetes	250	E11
D00BLL	Fesoterodine fumarate	Overactive bladder disorder	188, 596.51	C67, N32.81
D00BMF	MK-4827	Ovarian cancer	183	C56
D00BMM	Dismutase mimetics	Cancer	140-229	C00-C96
D00BND	BF-1	Migraine; Cluster headaches	339.00, 339.01, 339.02, 346	G43, G44.0
D00BOY	CP-18770	Non-hodgkin's lymphoma		C85
D00BPE	AVE-1642	Breast cancer	174, 175	C50
D00BPH	COVA322	Psoriasis	696	L40
D00BSR	JCAR017	Leukemia	208.9	C90-C95
D00BTW	UC-781	Human immunodeficiency virus infection	279.3	B20-B26
D00BTZ	CT-003230	Mild cognitive impairment	331.83	F06.7
D00BUO	MM-141	Cancer	140-229	C00-C96
D00BUR	ICA-17043	Hematopoietic		D50-D89
D00BVF	IP-889	Osteoarthritis	715	M15-M19, M47
D00BVJ	NHS-IL 12	Cancer	140-229	C00-C96
D00BVS	Tanezumab	Cancer pain	140-229, 338,780	R52, G89
D00BVS-D0TG1H	Diclofenac + Tanezumab	Osteoarthritis	715	M15-M19, M47
D00BWF	AGN-XX/YY	Diabetic nephropathy; Fibromyalgia	250.4, 729.1	E11.21, M79.7
D00BXZ	M-402	Cancer	140-229	C00-C96
D00BYM	Volasertib	Acute myeloid leukemia	205	C92.0
D00BZJ	Trumenba	Meningitis	320-322	G00-G03
D00BZO	HL-035	Syndrome X		E88.9
D00BZS	Gimatecan	Breast cancer	174, 175	C50
D00BZZ	PF-4603629	Type 2 diabetes	250	E11
D00CBP	DTPw-HBV/Hib	HBV infection	070.2-070.3	B16, B18.0, B18.1
D00CBY	CEL-021	Interstitial cystitis		N30.1
D00CCI	Benoxaprofen	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
D00CED	HG-1097	Cancer	140-229	C00-C96
D00CEE	Tetraxim	Bordetella pertussis infection		A37.0
D00CEG	D-43787	Allergy	995.3	T78.4
D00CEI	CM-2501	Poison intoxication		T36-T50
D00CFB	Zeniplatin	Melanoma	172	C43
D00CFU	RO-4840700	Schizophrenia	295	F20
D00CGH	RO-23-7553	Prostate disease		N42.9
D00CGU	IMS	Inflammatory bowel disease	555, 556	K50, K51
D00CGX	DV-1179	Systemic lupus erythematosus	710	M32
D00CIF	EMD-503982	Thrombosis	437.6, 453, 671.5, 671.9	I80-I82
D00CIT	Regavirumab	Cytomegalovirus infection		B25
D00CJQ	MurD ligase inhibitors	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D00CKQ	TRPV1 antagonists	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D00CLC	SLV-338	Cardiovascular disorder		I00-I99
D00CLM	NIP-004	Thrombocytopenia	287.3, 287.4, 287.5	D69.6, P61.0
D00CMA	VVZ-172	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D00CMC	BP-9906	Cancer	140-229	C00-C96
D00CMV	ABT-102	Chronic pathological pain	338,780	R52, G89
D00CQI	Indatuximab ravtansine	Relapsed or refractory multiple myeloma	203	C90
D00CQL	N-8295	Influenza virus		J11.1
D00CQQ	TGFK09SD-ER	Hypoactive sexual desire disorder		F52.0
D00CQW	TNP-351	Solid tumours	140-199, 210-229	C00-D48
D00CSA	LFF-269	Hypertension	401	I10-I16
D00CSQ	Triclosan	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D00CTS	Lubiprostone	Chronic idiopathic constipation	564	K59
D00CTS-D0IV3M	Lubiprostone + Polyethylene glycol	Colonoscopy		
D00CTZ	MEDI9929	Asthma		J45
D00CVJ	Neu-P11	Insomnia	307.41, 307.42, 327.0, 780.51, 780.52	F51.0, G47.0
D00CVT	TD-6301	Overactive bladder disorder	188, 596.51	C67, N32.81
D00CZL	INNO-206	Solid tumours	140-199, 210-229	C00-D48
D00CZT	Solanezumab	Alzheimer disease	331	G30
D00DAE	Carboxyamidotriazole orotate	Glioblastoma multiforme	191	C71
D00DAU	LCP-3301	Autoimmune diabetes		E08-E13
D00DBE	CI-1018	Asthma		J45
D00DBH	NPS 1776	Epilepsy		G40
D00DBO	Pipamperone	Insomnia	307.41, 307.42, 327.0, 780.51, 780.52	F51.0, G47.0
D00DBO-D0Y5DO	citalopram + pipamperone	Depression	311	F30-F39
D00DBU	SA-IGIV	Staphylococcus aureus infection		B95.6
D00DCY	OraTest	Oral cavity cancer		C00-C08
D00DDR	G3139 + Thalidomide	Multiple myeloma	203	C90
D00DEF	Lisdexamfetamine	Attention deficit hyperactivity disorder	314	F90
D00DEF-D08RBC	Escitalopram + Lisdexamfetamine	Major depressive disorder	296.2, 296.3, 710.0	F32, F33, M32
D00DHM	SDZ-208911	Psychotic disorders	290-299	F20-F29
D00DHT	Mammalian sterile 20-like kinase 1 gene eluting stent	Restenosis		I51.89
D00DIJ	CGP-49870	Unspecified		
D00DIM	Monohydroxyethylrutoside	Cardiovascular disorder		I00-I99
D00DJC	CJX-1	Cancer	140-229	C00-C96
D00DKK	Isotretinoin	Acne vulgaris	706.1	L70.0
D00DKK-D05PUD-D0XT5Y	Aldesleukin + Isotretinoin + Sargramostim	Disseminated neuroblastoma		C74.90
D00DPJ	Amezinium	Hypotension	458, 796.3	I95
D00DPP	CYCLOPLATAM	Cancer	140-229	C00-C96
D00DQX	Motesanib	Non-small cell lung cancer		C33-C34
D00DRA	KA-20X	Gastrointestinal cancers	150-159	C15-C26
D00DRL	MK-2461	Alzheimer disease	331	G30
D00DSD	GLI-5021	Cerebrovascular ischaemia	434.91	I61-I63
D00DSG	PF-05313261	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
D00DSN	Sepcidin	Sepsis	995.91	A40, A41
D00DSV	Polynoma-1	Melanoma	172	C43
D00DTP	ZP-006	Pharyngitis		J02
D00DUK	AFM-13	Hodgkin's lymphoma		C81
D00DXH	LYS-6KAKT1	Cancer	140-229	C00-C96
D00DYK	Lunacalcipol	Psoriasis	696	L40
D00DYN	Botulinum neurotoxin vaccine	Botulism	005.1, 040.41, 040.42	A05.1
D00DZN	Beclamide	Psychiatric disorder	290-319	F01-F99
D00EBH	ICI-170809	Anxiety disorder	300, 311	F32, F40-F42
D00ECB	CD-349	Hypertension	401	I10-I16
D00ECO	SIB-1553A	Alzheimer disease	331	G30
D00EDB	Topical etoricoxib	Osteoarthritis	715	M15-M19, M47
D00EEL	Gaboxadol	Insomnia	307.41, 307.42, 327.0, 780.51, 780.52	F51.0, G47.0
D00EEP	E-3309	Helicobacter pylori infection	41.86	B96.81
D00EFD	C-21191	Anxiety disorder	300, 311	F32, F40-F42
D00EFO	Interferon alpha-2b	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
D00EFO-D0H3WI	interferon alpha 2b + ribavirin	Chronic HBV infection	070.2-070.3	B16, B18.0, B18.1
D00EGN	ETX-9101	Asthma		J45
D00EGU	PACAP38	Nerve injury		T14.4
D00EHX	TT-301	Alzheimer disease	331	G30
D00EIB	Ha-1a	Atrial fibrillation; Congestive heart failure; Sepsis	427.31, 428, 428.0, 995.91	I48, I50, A40, A41
D00EIL	CG-103065	Cancer	140-229	C00-C96
D00EJP	GSK2339345	Cough	786.2	R05
D00EKM	Virapt	Human immunodeficiency virus infection	279.3	B20-B26
D00ELE	XL-647	Polycystic kidney disease	753.1	Q61
D00EMB	GSK-1247446A	Influenza virus		J11.1
D00EML	Q-Vax	Coxiella infection		A78
D00ENU	CAB-101	Autoimmune diabetes		E08-E13
D00ENY	L-Glutamic Acid	Schizophrenia; Indigestion	295	F20, K30
D00EOK	Sarcoma mab vaccine	Sarcoma	202.8	C81-C86
D00EPS	compound 4	Myocardial ischemia; Reperfusion injury	459.89	I99.8
D00EPT	E7850	Solid tumours	140-199, 210-229	C00-D48
D00EPT-D00HCQ	irofulven + capecitabine	Thyroid cancer	140-229, 193	C73
D00EPT-D0Y3ME	irofulven + oxaliplatin	Liver cancer	140-229, 155, 203.0	C22
D00EQD	PN-277	Cerebrovascular ischaemia	434.91	I61-I63
D00EQL	EPZ-6438	Solid tumours	140-199, 210-229	C00-D48
D00EQY	KTN3379	Late-stage solid tumors	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
D00ESH	DCVax-Liver	Liver cancer	140-229, 155, 203.0	C22
D00ETS	Hexobarbital	Anesthesia	338	R20.0
D00EVP	Simenepag isopropyl	Ocular hypertension	365.04	H40.0
D00EWR	Fidarestat	Diabetes	253.5, 588.1	E23.2, N25.1
D00EXZ	PB-357	Cancer	140-229	C00-C96
D00EYC	F-7TG	Hemophilia	286	D66-D68
D00EYF	PEGylated insulin	Diabetes	253.5, 588.1	E23.2, N25.1
D00EZE	Panamesine	Psychotic disorders	290-299	F20-F29
D00EZO	TC-2216	Mood disorder		F30-F39
D00FAW	CL-508	Emesis	787	R11
D00FBC	KHK-6188	Neuropathic pain	356.0, 356.8	G64, G90.0
D00FBM	LP-2307	Cancer	140-229	C00-C96
D00FCV	Inhaled liposomal ciprofloxacin	Cystic fibrosis	277	E84
D00FCW	ViaScint	Cardiovascular disorder		I00-I99
D00FDD	INT-0020	Insomnia	307.41, 307.42, 327.0, 780.51, 780.52	F51.0, G47.0
D00FEA	GRL-0036A	HIV-1 infection	001-139, 042	B20-B24
D00FGO	Melphalan	Multiple myeloma	203	C90
D00FGO-D02VVS-D0CT9C-D0Q5NX	Cyclophosphamide + Filgrastim + Lenalidomide + Melphalan	Refractory multiple myeloma		C90
D00FGO-D07SUG	Busulfan + Melphalan	Multiple myeloma	203	C90
D00FGO-D07SUG-D0F2XQ	Busulfan + Fludarabine + Melphalan	Multiple myeloma	203	C90
D00FGO-D07VLY-D09QVV-D0CT9C-D0IL7L-D0IT2G	Cyclophosphamide + Dexamethasone + Doxorubicin + Melphalan + Prednisone + Vincristine	Multiple myeloma	203	C90
D00FGO-D0D1SG-D0U7GK	Melphalan + Prednisolone + Thalidomide	Multiple myeloma	203	C90
D00FGO-D0FM2W-D0IL7L-D0U7GK	Defibrotide + Melphalan + Prednisone + Thalidomide	Multiple myeloma	203	C90
D00FGO-D0GY5Z-D0IL7L-D0Q5NX	Aspirin + Lenalidomide + Melphalan + Prednisone	Newly diagnosed multiple myeloma		C90
D00FGO-D0IL7L-D0Q5NX	Lenalidomide + Melphalan + Prednisone	Multiple myeloma	203	C90
D00FGO-D0IL7L-D0SH3I	Bortezomib + Melphalan + Prednisone	Multiple myeloma	203	C90
D00FGO-D0IL7L-D0SH3I-D0U7GK	Bortezomib + Melphalan + Prednisone + Thalidomide	Relapsed multiple myeloma		C90
D00FGR	Miltefosine	Leishmaniasis		B55.0
D00FGR	Miltefosine	Visceral leishmaniasis	85	B55.0
D00FGR-D02DWM	Amphotericin B + Miltefosine	Leishmaniasis		B55.0
D00FGR-D04NDM	Miltefosine + Paromomycin	Visceral leishmaniasis	85	B55.0
D00FGR-D06CTE	miltefosine + imiquimod	Cutaneous leishmaniasis		B55
D00FGV	Carbinoxamine	Seasonal and perennial allergic rhinitis and vasomotor rhinitis		J30
D00FGW	Anthrax transdermal vaccine	Anthrax	22	A00-B99
D00FGY	PF-755616	Rheumatoid arthritis	710-719, 714	M05-M06
D00FHI	Zabiciprilat	Hypertension	401	I10-I16
D00FHR	MGCD-0103	Solid tumours	140-199, 210-229	C00-D48
D00FHR-D03TIS	mocetinostat + brentuximab vedotin	Hodgkin's lymphoma		C81
D00FIV	Leukotoxin	Autoimmune diabetes		E08-E13
D00FIX	Agalsidase beta	Fabry's disease	272.7	E75.2
D00FJC	Nuvanil	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D00FJS	KRH-2731	Human immunodeficiency virus infection	279.3	B20-B26
D00FMK	SDZ-LAV-694	Actinic keratosis	702	L57.0
D00FMQ	FX-300	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
D00FMV	Putrescine	Burns and burn infection	001-139	A00-B99
D00FMW	TIM ETEC vaccine	Diarrhea	787.91	A09, K59.1
D00FOR	NBI-80649	Parkinson's disease	332	G20
D00FQP	LAGATIDE	Diarrhea	787.91	A09, K59.1
D00FRQ	Actinomycetes metabolites	Mycobacterium tuberculosis infection		A15-A19
D00FRX	CTA-056	Leukemia	208.9	C90-C95
D00FRY	BILD-1351	Herpes simplex virus infection	54	B00
D00FSS	SPD-452	Epilepsy		G40
D00FSV	Phytonadione	Vitamin K deficiency; Bleeding	269, 444, 453	E56.1, I74, I80-I82
D00FUD	HRA-081025	Contraception		Z30
D00FWB	L-163017	Hypertension	401	I10-I16
D00FWI	Dextrorphan	Acute ischemic stroke	434.91	I61-I63
D00FXQ	IG-CN-023	Neuropathic pain	356.0, 356.8	G64, G90.0
D00FYF	NVP-DPP728	Type 2 diabetes	250	E11
D00FYP	PG-36	Cytomegalovirus infection		B25
D00FZA	ALD-805	Cancer	140-229	C00-C96
D00FZZ	PEG-FGF-21	Type 2 diabetes	250	E11
D00GAM	Beclanorsen	Leukemia	208.9	C90-C95
D00GAV	AR-2474	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D00GBG	Resp syncytial virus ig	Respiratory syncytial virus infection	79.6	B97.4
D00GBZ	CEQ-508	Familial adenomatous polyposis		C18, D12
D00GCA	MK-7288	Excessive daytime sleepiness	291.82, 292.85, 307.43-307.44, 327.1, 780.53-780.54	F51.1, G47.1
D00GDN	ML-03	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
D00GEG	Ralfinamide	Neuropathic pain	356.0, 356.8	G64, G90.0
D00GES	JD-5037	Obesity; Diabetes	250, 278	E08-E13, E66
D00GFU	BTma22	Autoimmune diabetes		E08-E13
D00GFV	Leridistim	Immune disorder		D80-D89
D00GHG	VAX-102	Influenza A infection		J10, J11
D00GHZ	Antiandrogens	Endocrine disease		E00-E35
D00GIR	DAC-060	Keratosis		L57.0
D00GJK	Depigoid birch pollen extract vaccine	Allergic conjunctivitis	204.0, 372.0, 372.14, 995.3	C91.0, H10, H10.45, T78.4
D00GKH	HG-1179	Cancer	140-229	C00-C96
D00GLQ	2LM20-4	Autoimmune diabetes		E08-E13
D00GLW	OM-294-DP	Cancer	140-229	C00-C96
D00GMT	CS-551	Unspecified		
D00GNI	REGN-727	Type 1 diabetes	250	E10
D00GNJ	Linaclotide	Constipation; Postoperative ileus	537.2, 560.1, 560.31, 564.0, 777.1, 777.4	K31.5, K56.0, K56.3, K56.7, K59.0, P76.1
D00GNK	LY293111	Pancreatic cancer	140-199, 140-229, 157, 210-229	C25
D00GNN	P53 mdm-2-binding domain peptides	Cancer	140-229	C00-C96
D00GOH	HepeX-B	Hepatitis virus infection	573.3	K75.9
D00GOS	Clocortolone	Inflammatory and pruritic manifestations of moderate to severe corticosteroid-responsive dermatoses of the scalp		L20-L30
D00GOV	Nivolumab	Hematological malignancies	200-209	C81-C86
D00GOV-D07BVI	nivolumab + ipilimumab	Mesothelioma; Bladder cancer; Melanoma	163	C45, C67, C43
D00GOV-D0W2HD	mogamulizumab + nivolumab	Solid tumor; Carcinoma		C00-D48
D00GOV-D0ZE1O	nivolumab + plinabulin	Non-small cell lung cancer		C33-C34
D00GPQ	PF-03084014	Alzheimer disease; Cancer	331, 140-229	G30, C00-C96
D00GPY	OMP-18R5	Solid tumours	140-199, 210-229	C00-D48
D00GPZ	MCD inhibitors	Obesity	278	E66
D00GXL	PBT-2	Alzheimer disease	331	G30
D00GZW	ONO-2506	Stroke	434.91, 437.6, 453, 671.5, 671.9	I61-I63, I80-I82
D00GZY	AT1001	Autoimmune diabetes		E08-E13
D00HAP	Dapagliflozin/metformin	Type 2 diabetes	250	E11
D00HBE	AZD0914	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D00HBF	CAB-103	Cancer	140-229	C00-C96
D00HBR	AIKO-150	Opiate dependence	304	F11
D00HCM	Metallo-levodopa	Parkinson's disease	332	G20
D00HCQ	Capecitabine	Breast cancer	174, 175	C50
D00HCQ	Capecitabine	Colorectal cancer	153, 154	C18-C21
D00HCQ-D03UVS	gemcitabine + capecitabine	Metastatic colorectal cancer; Pancreatic cancer	153, 154, 140-199, 140-229, 157, 210-229	C18-C21, C25
D00HCQ-D03UVS-D0HU9H-D0Y3ME	Capecitabine + Gemcitabine + Oxaliplatin + Panitumumab	Cholangiocarcinoma		C22.1
D00HCQ-D03UVS-D0W5HK	Capecitabine + Gemcitabine + Sorafenib	Breast cancer	174, 175	C50
D00HCQ-D04KBL	Bevacizumab + Capecitabine	Colorectal cancer; Metastatic breast cancer	153, 154	C18-C21, C50
D00HCQ-D04KBL-D04WFL	Bevacizumab + Capecitabine + Trastuzumab	Breast cancer	174, 175	C50
D00HCQ-D04KBL-D05LEO-D0U5HU	Bevacizumab + Capecitabine + Cisplatin + Fluorouracil	Adenocarcinoma	140-199	C00-C75, C7A, C7B
D00HCQ-D04KBL-D07HOB	Bevacizumab + Capecitabine + Irinotecan	Colorectal cancer	153, 154	C18-C21
D00HCQ-D04KBL-D07VLY-D0CT9C-D0O5WP	Bevacizumab + Capecitabine + Cyclophosphamide + Docetaxel + Doxorubicin	Breast cancer	174, 175	C50
D00HCQ-D04KBL-D0N5OV-D0Y3ME	Bevacizumab + Capecitabine + Cetuximab + Oxaliplatin	Colorectal cancer	153, 154	C18-C21
D00HCQ-D04WFL-D05LEO-D0U5HU	Capecitabine + Cisplatin + Fluorouracil + Trastuzumab	Gastric cancer	151	C16
D00HCQ-D04WFL-D0U5HU	Capecitabine + Cisplatin + Trastuzumab	Gastric cancer	151	C16
D00HCQ-D04WFL-D0U5HU	Capecitabine + Cisplatin + Trastuzumab	Human gastric cancer		C16
D00HCQ-D07HOB	Capecitabine + Irinotecan	Advanced colorectal cancer	153, 154	C18-C21
D00HCQ-D07HOB-D0Y3ME	Capecitabine + Irinotecan + Oxaliplatin	Colorectal cancer	153, 154	C18-C21
D00HCQ-D07POC	capecitabine + erlotinib	Metastatic pancreas adenocarcinoma		C25.9
D00HCQ-D08CDI	Capecitabine + Lapatinib	Breast cancer	174, 175	C50
D00HCQ-D08CDI-D0W2EK	ixabepilone + lapatinib + capecitabine	Locally advanced or metastatic breast cancer		C50
D00HCQ-D08CDI-D0Y3ME	Capecitabine + Lapatinib + Oxaliplatin	Metastatic colorectal cancer	153, 154	C18-C21
D00HCQ-D0AZ3C	Capecitabine + Imatinib	Metastatic breast cancer		C50
D00HCQ-D0AZ3C-D0U5HU	Capecitabine + Cisplatin + Imatinib	Gastric cancer	151	C16
D00HCQ-D0BZ7V-D0C9XJ-D0U5HU	matuzumab + Epirubicin + cisplatin + capecitabine	Esophageal cancer; Gastric cancer		C15, C16
D00HCQ-D0C4RB	Capecitabine + Paclitaxel	Esophageal cancer	150	C15
D00HCQ-D0C9XJ-D0HU9H-D0Y3ME	Capecitabine + Epirubicin + Oxaliplatin + Panitumumab	Oesophago-gastric cancer		C16
D00HCQ-D0C9XJ-D0O5WP	Capecitabine + Docetaxel + Epirubicin	Breast cancer	174, 175	C50
D00HCQ-D0C9XJ-D0U5HU	Capecitabine + Cisplatin + Epirubicin	Advanced gastric cancer	151	C16
D00HCQ-D0CT9C	Capecitabine + Cyclophosphamide	Breast cancer	174, 175	C50
D00HCQ-D0F0ZY	pazopanib + capecitabine	Metastatic breast cancer		C50
D00HCQ-D0F0ZY-D0Y3ME	pazopanib + capecitabine + oxaliplatin	Gastric cancer	151	C16
D00HCQ-D0I1QI	capecitabine + ganetespib	Rectal cancer	154	C20
D00HCQ-D0I6VU	Capecitabine + Enzastaurin	Breast cancer	174, 175	C50
D00HCQ-D0IT2G-D0TS1Z-D0Y3ME	Capecitabine + Dexamethasone + Floxuridine + Oxaliplatin	Adenocarcinoma of the colon		C50
D00HCQ-D0N5OV-D0Y3ME	capecitabine + oxaliplatin + cetuximab	Colorectal cancer	153, 154	C18-C21
D00HCQ-D0O5WP	Capecitabine + Docetaxel	Advanced non-small cell lung cancer; Metastatic breast cancer	162	C33-C34, C50
D00HCQ-D0O5WP-D0Y3ME	docetaxel + oxaliplatin + capecitabine	Stomach cancer		C16
D00HCQ-D0OT9S	vinflunine + capecitabine	Breast cancer	174, 175	C50
D00HCQ-D0R0MW	Capecitabine + Sunitinib	Breast cancer	174, 175	C50
D00HCQ-D0U5HU	cisplatin + capecitabine	Solid tumours	140-199, 210-229	C00-D48
D00HCQ-D0W2EK	Capecitabine + Ixabepilone	Advanced breast cancer	174, 175	C50
D00HCQ-D0W5HK	Capecitabine + Sorafenib	Breast cancer	174, 175	C50
D00HCQ-D0W7JZ	tivozanib + capecitabine	Solid tumours	140-199, 210-229	C00-D48
D00HCQ-D0Y3ME	Capecitabine + Oxaliplatin	Advanced colorectal cancer; Stomach cancer	153, 154	C18-C21, C16
D00HCQ-D0Y3ME	Capecitabine + Oxaliplatin	Metastatic colorectal cancer	153, 154	C18-C21
D00HDB	AC-105	Spinal cord injury		S14, S24, S34
D00HDC	MCP-204	Bladder disease		N30-N32
D00HDH	Molecule 22	Alzheimer disease	331	G30
D00HDK	PGX-5188	Bipolar disorder	296.0, 296.1, 296.4, 296.5, 296.6, 296.7, 296.8, 300	F31, F40-F42
D00HDU	Moexipril	Hypertension	401	I10-I16
D00HDU-D0U4UQ	Hydrochlorothiazide + Moexipril	High blood pressure	401	I10-I16
D00HEA	Transcobalamin (vitamin B12) receptor-targeting mabTCR23-saporin conjugate	Cancer	140-229	C00-C96
D00HEN	Rotavirus vaccine	Rotavirus infections	001-139	A00-B99
D00HFD	E-6080	Asthma		J45
D00HGB	Niflumic Acid	Rheumatoid arthritis; Dysmenorrhea	710-719, 714, 625.3	M05-M06, N94.4-N94.6
D00HGF	ERYTHRITOL	Neurological disease	338, 338.2, 410, 782.3,780	I21, I22, R52, R52.1-R52.2, R60.9, G89
D00HGY	Insulin B chain vaccine	Insulin dependent diabetes		E10
D00HHP	CP-111905	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D00HHS	Pseudoephedrine	Nasal congestion	478.19	J34.89
D00HHS-D01FGR	Diphenhydramine + Pseudoephedrine	Cough; Cold		R05
D00HHS-D01GBY	Desloratadine + Pseudoephedrine	Hay fever; Respiratory allergies		J30
