4-ethyl-3,4-dihydroquinazolin-2-amine	HTR5A
3-[2-(1-benzyl-piperidin-4-yl)-ethyl]-1h-indazole	ACHE
zyh-7	PPARA
ar-12	PDPK1
bms270394	RARG
pd-140548	CCKAR
pd-140548	CCKBR
obeticholic acid	NR1H4
azd7762	CHEK1
n5-[4-(3-phenylpropoxy)phenyl]-l-glutamine	LTA4H
ts01	C1S
drug 2849330	ERBB3
nitroglycerin	NPR1
atm avi	MS4A1
m826	CASP7
m826	CASP4
m826	CASP1
m826	CASP5
m826	CASP3
vda-1124	GZMB
8-sec-butoxy-quinolin-2-ylamine	MCHR1
accutin	ITGB3
accutin	ITGA2B
denosumab	TNFSF11
1-(5-chloro-2-hydroxy-4-nitrophenyl)-3-phenylurea	CXCR2
sc-50998	CCKAR
streptonigrin	PADI3
streptonigrin	PADI4
apto-253	KLF4
flumazenil	GABRD
flumazenil	GABRG3
flumazenil	GABRG2
flumazenil	GABRA1
flumazenil	GABRG1
flumazenil	GABRA4
flumazenil	GABRA2
flumazenil	GABRE
flumazenil	GABRP
flumazenil	GABRB3
flumazenil	GABRQ
flumazenil	GABRA5
flumazenil	GABRA3
flumazenil	GABRA6
flumazenil	GABRB1
flumazenil	TSPO
flumazenil	GABRB2
ac-yrmehdfrwg-nh2	MC1R
ac-yrmehdfrwg-nh2	MC4R
ac-yrmehdfrwg-nh2	MC3R
3-(1-propyl-pyrrolidin-3-yl)-phenol	HTR1A
3-(1-propyl-pyrrolidin-3-yl)-phenol	DRD2
3-(1-propyl-pyrrolidin-3-yl)-phenol	DRD3
4,17-dehydroxyriccardin c	NR1H3
4,17-dehydroxyriccardin c	NR1H2
alks5461	OPRM1
dmt-pro-trp-d-2-nal-nh2	OPRD1
dmt-pro-trp-d-2-nal-nh2	OPRM1
palifosfamide	DNMT1
valproate	GSK3A
etoloxamine	DRD2
etoloxamine	DRD1
etoloxamine	DRD3
cangrelor	P2RY12
dicoumarol	VKORC1
2-(5,6-dihydroxy-indan-1-ylidene)-malononitrile	EGFR
il1aqb	IL1A
1,6-bis(4-(3-methoxyphenyl)piperazin-1-yl)hexane	HTR1A
1,6-bis(4-(3-methoxyphenyl)piperazin-1-yl)hexane	KCNH2
1,6-bis(4-(3-methoxyphenyl)piperazin-1-yl)hexane	DRD2
1,6-bis(4-(3-methoxyphenyl)piperazin-1-yl)hexane	HTR2A
[3h]maraviroc	CCR5
isoppads	P2RX3
isoppads	P2RX7
n-methyl-n-phenyl-2-oxo-2h-chromene-3-carboxamide	MAOB
ksg-ldtknykqtsv	DLG4
4-(furan-2-yl)-7h-pyrrolo[2,3-d]pyrimidin-2-amine	ADORA2A
4-(furan-2-yl)-7h-pyrrolo[2,3-d]pyrimidin-2-amine	ADORA1
4-(8-phenyl-oct-3-ynyl)-1h-imidazole	HRH3
a-867744	CHRNA7
a-867744	CHRNB2
a-867744	CHRM5
7-nitroindazole	NOS3
7-nitroindazole	NOS2
acpyy(25-36)	NPY2R
pac1	CASP3
cx-9051	PTGS2
4-(6-hydroxy-benzooxazol-2-yl)-benzene-1,3-diol	ESR2
4-(6-hydroxy-benzooxazol-2-yl)-benzene-1,3-diol	ESR1
amobarbital	GABRA1
amobarbital	GABRA4
amobarbital	GABRA2
amobarbital	GABRA5
amobarbital	GABRA3
amobarbital	GABRA6
6-hydroxy-7,8-dihydro purine nucleoside	ADA
5,n-dihydroxythalidomide	PGR
benzyl-(9-isopropyl-9h-purin-6-yl)-amine	CDK2
compound 4	CASP2
compound 4	FDFT1
compound 4	CASP3
compound 4	P2RY12
compound 4	CPB1
compound 4	CPB2
compound 4	CASP7
compound 4	PLAU
compound 4	C3AR1
compound 4	GRM2
compound 4	CASP8
compound 4	GRM3
compound 4	LSS
isis 113873	MAP3K2
r-fadrozole	CYP11B1
r,r-thc	ESR2
r,r-thc	ESR1
memantine	GRIN3A
memantine	GRIN2A
memantine	GRIN2B
glucagon-like peptide-1 analog	GLP1R
gmi-1070	SELL
gmi-1070	SELE
gmi-1070	SELP
sar425899	GLP1R
sar425899	GCGR
4-sulfamoyloxy-benzoic acid nonyl ester	STS
isis 2678	SELE
gsk239512	HRH3
3-[7-(benzylmethylamino)-heptyloxy]xanthen-9-one	BCHE
3-[7-(benzylmethylamino)-heptyloxy]xanthen-9-one	ACHE
3,4-dibenzyloxy-2'-hydroxychalcone	PTGS2
adenosine triphosphate	ABL1
albiglutide	GLP1R
norepinephrine	ADRA1A
norepinephrine	ADRB2
norepinephrine	ADRA1B
norepinephrine	ADRA2B
norepinephrine	ADRB1
norepinephrine	ADRB3
norepinephrine	ADRA2C
norepinephrine	ADRA1D
norepinephrine	ADRA2A
ru85493	SRC
1,8-dichloro-10h-anthracen-9-one	ALOX5
digoxin	ATP1B1
digoxin	ATP1B3
digoxin	ATP1A1
digoxin	ATP1A2
digoxin	ATP1B2
digoxin	ATP1A3
2-(3-carbamoylbenzyl)-5-mercaptopentanoic acid	FOLH1
(2r)-n-(6-(4-chlorophenyl)-7-(2,4-dichlorophenyl)-2,2-dimethyl-3,4-dihydro-2h-pyrano[2,3-b]pyridin-4-yl)-2-hydroxypropanamide (enantiomeric mix)	CNR1
(2r)-n-(6-(4-chlorophenyl)-7-(2,4-dichlorophenyl)-2,2-dimethyl-3,4-dihydro-2h-pyrano[2,3-b]pyridin-4-yl)-2-hydroxypropanamide (enantiomeric mix)	KCNH2
(2r)-n-(6-(4-chlorophenyl)-7-(2,4-dichlorophenyl)-2,2-dimethyl-3,4-dihydro-2h-pyrano[2,3-b]pyridin-4-yl)-2-hydroxypropanamide (enantiomeric mix)	CNR2
n-2-phenylethyl-1h-pyrrole-2-carboxamide	MAOA
lfa703	ITGAL
n-hydroxy-4-(phenylacetylamino-methyl)-benzamide	HDAC1
n-hydroxy-4-(phenylacetylamino-methyl)-benzamide	HDAC6
n-hydroxy-4-(phenylacetylamino-methyl)-benzamide	HDAC4
n-hydroxy-4-(phenylacetylamino-methyl)-benzamide	HDAC8
n-hydroxy-4-(phenylacetylamino-methyl)-benzamide	HDAC2
n-hydroxy-4-(phenylacetylamino-methyl)-benzamide	HDAC10
(s)-n2-{4-[(3-chlorobenzyl)oxy]benzyl}alaninamide	MAOB
azd1979	MCHR1
1,3-dihydro-naphtho[2,3-d]imidazol-2-one	PDE3A
s-222611	EGFR
s-222611	ERBB2
1-(benzofuran-2-yl)-3-aza-bicyclo[3.1.0]hexane	SLC6A4
1-(benzofuran-2-yl)-3-aza-bicyclo[3.1.0]hexane	SLC6A3
norbinaltorphimine	OPRK1
norbinaltorphimine	OPRD1
norbinaltorphimine	OPRM1
cypate-[(rgd)4-nh2]2	ITGAV
cypate-[(rgd)4-nh2]2	ITGB3
ame-133v	MS4A1
1-(2-chloro-phenyl)-piperazine	HTR1A
1-(2-chloro-phenyl)-piperazine	ADRA1A
1-(2-chloro-phenyl)-piperazine	ADRA1D
2-(1-pentyl-hexyl)-4-phenyl-1h-imidazole	SCN1A
chromic chloride	INSR
abl 001	ABL1
prenalterol	ADRB3
16,17-androstene-3-ol	NR1I3
pellitorin	ICAM1
cgs-22652	TBXA2R
bms-708163	APH1B
bms-708163	PSENEN
bms-708163	APH1A
bms-708163	NCSTN
bms-708163	PSEN1
n4,n6-dibenzylpyrimidine-4,6-dicarboxamide	MMP13
gsk-2210875	GRM5
indoprofen	CXCR2
indoprofen	PTGS2
indoprofen	PTGS1
indoprofen	CXCR1
indoprofen	FABP1
nsc-645836	NQO2
(s)-2-amino-1-(4-butylthiophenyl)-propane	MAOA
(s)-2-amino-1-(4-butylthiophenyl)-propane	MAOB
arcitumomab	CEACAM3
interferon alfa-n3	IFNAR2
interferon alfa-n3	IFNAR1
interferon alfa-n3	IFNA8
3-methoxyphenylboronic acid	FAAH
methimazole	TPO
bx-517	AKT1
bx-517	PDPK1
(e)-3-(4-tert-butyl-phenyl)-n-phenyl-acrylamide	TRPV1
3-(decylthio)-1,1,1-trifluoropropan-2-one	FAAH
3-(decylthio)-1,1,1-trifluoropropan-2-one	CES1
wrr-99	CTSF
spr-210	AKR1B1
gemeprost	PTGER3
[3h]apafant	PTAFR
revacept	GP6
1-(1-biphenyl-4-yl-pentyl)-1h-imidazole	CYP17A1
sch-225336	CNR2
carbetocin	OXTR
rq-00202730	CNR2
lerdelimumab	TGFB2
(1-amino-3-methyl-butyl)-phosphinic acid	ANPEP
compound 22	ILK
compound 22	NEK7
compound 22	NEK6
compound 22	ROCK1
compound 22	ECE1
compound 22	GRM1
compound 22	ROCK2
(+/-)-threo-n-(4-methoxybenzyl)methylphenidate	SLC6A3
lebrikizumab	IL13
emate	STS
emate	CA2
nn-818	APP
saxitoxin	SCN1A
a-317491	P2RX3
3-(6-morpholino-4-oxo-4h-pyran-2-yl)benzaldehyde	PRKDC
nte-122	CES1
2-(4-hydroxyphenyl)-7-methoxychroman-4-one	CYP19A1
neolignan 9-nor-7,8-dehydro-isolicarin b	PTGS2
methylnoradrenaline	ADRA2C
methylnoradrenaline	ADRA2B
methylnoradrenaline	ADRA2A
11-keto-ursolic acid	HSD11B1
gb110	F2RL1
follicle stimulating hormone	FSHB
8-aminoguanine	PNP
isis 3804	VCAM1
2-(2-carboxy-7-mercaptoheptyl)benzoic acid	FOLH1
nsc-745795	TERT
demobesin	BRS3
tiapride	HTR3D
tiapride	HTR2B
tiapride	HRH1
tiapride	HTR2C
tiapride	HTR4
tiapride	ADRA2A
tiapride	ADRA1A
tiapride	HTR1F
tiapride	HTR1B
tiapride	HTR1E
tiapride	HTR6
tiapride	HTR3B
tiapride	HTR3C
tiapride	ADRA2B
tiapride	HTR3A
tiapride	ADRA1D
tiapride	HTR1D
tiapride	DRD2
tiapride	HTR2A
tiapride	HTR1A
tiapride	ADRA1B
tiapride	ADRA2C
tiapride	DRD3
tiapride	HTR7
tiapride	HTR3E
vpm-4-001	IFNG
trans-hydroxytamoxifen	ESR2
trans-hydroxytamoxifen	ESR1
a-770041	SRC
a-770041	LCK
meclofenamic acid	PTGS2
meclofenamic acid	PTGS1
meclofenamic acid	ALOX5
4-(3-benzenesulfonamidophenyl)piperazine	HTR6
thiogenistein	ESR2
jwh-268	CNR1
jwh-268	CNR2
nedocromil	CYSLTR2
nedocromil	CYSLTR1
tat-nr2b9c	DLG4
methylcarbamyl paf	PTAFR
compound 27	CAMK2A
compound 27	STK16
compound 27	CAMK2D
compound 27	CAMK2B
compound 27	CAMK2G
compound 27	MET
compound 27	STK38L
compound 27	EIF2AK1
compound 27	GRM1
compound 27	GRM5
6-(4-hydroxy-phenyl)-naphthalen-1-ol	ESR2
6-(4-hydroxy-phenyl)-naphthalen-1-ol	ESR1
6-(4-hydroxy-phenyl)-naphthalen-1-ol	HSD17B1
tc-6987	CHRNA7
4-((+/-)-(1h-imidazol-1-yl)-(e)-retinoic acid	CYP26A1
5,6,8-trichloroquinoline-4-one-3-carboxylic acid	CSNK2A1
prs-060	IL4R
isis 133244	DUSP5
pnu-282987	CHRNA7
5-(4-piperidyl)-4-propylisothiazol-3-ol	GABRA1
5-(4-piperidyl)-4-propylisothiazol-3-ol	GABRG2
rwj-68141	ADRA1A
adatanserin	HTR1A
adatanserin	HTR2A
pde4 inhibitors	PDE4A
pde4 inhibitors	PDE4D
pde4 inhibitors	PDE4B
trc-8xxx series	DPP4
[3h]saredutant	TACR2
km-233-m	CNR1
km-233-m	CNR2
ave-2268	SLC5A2
2-(2-methoxyphenyl)-1h-indene	PTGS1
13,14-dihydro-16-m-chlorophenoxy-w-tetranor-pgf1alpha	PTGFR
gr-113808	HTR4
pf-228	CDK1
pf-228	CDK7
pf-228	GSK3B
pf-228	IKBKB
pf-228	PTK2
pf-228	CDK2
jwh-348	CNR1
jwh-348	CNR2
3-tetrazol-2-yl-1-aza-bicyclo[2.2.2]octane	CHRM2
3-tetrazol-2-yl-1-aza-bicyclo[2.2.2]octane	CHRM1
3-tetrazol-2-yl-1-aza-bicyclo[2.2.2]octane	CHRM4
3-tetrazol-2-yl-1-aza-bicyclo[2.2.2]octane	CHRM3
ac-i[cv(bta)qdwgahrc]t-nh2	C3
nox-s91	S1PR1
7-bromo-2-phenyl-[1,8]naphthyridin-4-ol	ADORA1
leucine-enkephalin	OPRM1
cbf-bs2	G6PD
chr-4125	PLK1
rosiglitazone + simvastatin	PPARG
2mesamp	P2RY13
2mesamp	P2RY12
isis 25080	MAP2K2
bms-536924	IGF1R
bms-536924	PDGFRB
bms-536924	CYP3A4
bms-536924	AKT1
bms-536924	MET
bms-536924	MAPK1
bms-536924	CCNE1
bms-536924	KDR
bms-536924	LCK
bms-536924	CDK2
bms-536924	PTK2
bms-536924	PDGFRA
bms-536924	ERBB2
n-n-hexyl-7-methoxytacrine hydrochloride	BCHE
n-n-hexyl-7-methoxytacrine hydrochloride	ACHE
mirabegron	ADRB3
savx-1	PPARD
h-cxp-ala-gly-phe-leu-oh	OPRD1
nlx-p101	GLUL
1-cyclohexyl-3-phenyl-urea	EPHX2
colorectal cancer vaccine	CSF2RA
gamma-homolinolenic acid	PTGS1
msoppe	GRM7
ed45	ELANE
sb-277011	DRD3
ketazolam	GABRD
ketazolam	GABRA1
ketazolam	GABRG1
ketazolam	GABRE
ketazolam	GABRB1
ketazolam	TSPO
norbinaltorphimine derivative	OPRK1
rpr-114334	FNTB
idec-131	CD40LG
7-fluoroindirubin-3-oxime	AURKC
7-fluoroindirubin-3-oxime	AURKA
7-fluoroindirubin-3-oxime	AURKB
ac430	JAK2
sch-211803	CHRM2
n-(2-iodoethyl)linoleoylamide	FAAH
catpb	FFAR2
4'-(4-fluorobenzensulfonamide)-4-hydroxychalcone	TYR
h-dmt-tic-gly-nh-ch2-bid	OPRD1
h-dmt-tic-gly-nh-ch2-bid	OPRM1
3-(4-phenoxy-benzenesulfonyl)-cyclohexanethiol	MMP13
3-(4-phenoxy-benzenesulfonyl)-cyclohexanethiol	MMP1
3-(4-phenoxy-benzenesulfonyl)-cyclohexanethiol	MMP8
ml277	KCNQ1
fenbufen	PTGS2
fenbufen	PTGS1
(+/-)-threo-n-ethylritalinol	SLC6A3
2-(3-(2-methylquinolin-7-yl)phenyl)acetonitrile	GRM5
concatameric ctla4ig	CTLA4
1-(4-methyl-benzyl)-1h-imidazole	CYP17A1
cvt-124	ADORA1
hqk-1004	TK1
su-740	CHRM5
pf-3526299	SYK
9-bromo-5,11-dimethyl-6h-pyrido[4,3-b]carbazole	KIT
ethchlorvynol	GABRD
ethchlorvynol	GABRG3
ethchlorvynol	GABRG2
ethchlorvynol	GABRA1
ethchlorvynol	GABRG1
ethchlorvynol	GABRA4
ethchlorvynol	GABRA2
ethchlorvynol	GABRE
ethchlorvynol	GABRP
ethchlorvynol	GABRB3
ethchlorvynol	GABRQ
ethchlorvynol	GABRA5
ethchlorvynol	GABRA3
ethchlorvynol	GABRA6
ethchlorvynol	GABRB1
ethchlorvynol	GABRB2
s-2-(o-toluidino)-2-oxoethyl carbamothioate	TYR
olmesartan medoxomil	AGTR1
n-(6-chloro-5-phenyl-1h-indazol-3-yl)butyramide	GSK3B
[3h]mk-912	ADRA2C
[3h]mk-912	ADRA2B
5'-deoxy-5'-dimethylsulfonioadenosine chloride	AMD1
bibp 3226	NPY1R
compound 3a	P2RY1
compound 3a	GRM1
compound 3a	FDFT1
compound 3a	GPR119
bms-817399	CCR1
2-methyl-4-(m-tolylethynyl)thiazole	GRM5
mdl-28163	HRH1
mdl-28163	TACR1
sp-sap	TACR1
4-hydroxy-but-2-enoate	SLC52A2
4-benzyl-1-chroman-2-ylmethyl-piperidine	HTR1A
4-benzyl-1-chroman-2-ylmethyl-piperidine	DRD2
n-(6-methylpyridin-2-yl)biphenyl-3-carboxamide	GRM5
4-(5-bromoindole-3-yl)-6,7-dimethoxyquinazoline	EGFR
3-(5-phenyl-oxazol-2-ylamino)-benzonitrile	KDR
3-(5-phenyl-oxazol-2-ylamino)-benzonitrile	FLT4
3-(5-phenyl-oxazol-2-ylamino)-benzonitrile	FLT1
fp0429	GRM4
isis 102619	PRKACA
tacrolimus	FKBP1A
d1 agonist d2 antagonist	DRD2
d1 agonist d2 antagonist	DRD1
(-)-7-n-methyldibromophakellin	ALOX12
pha-793887	CDK4
pha-793887	CDK1
pha-793887	CDK2
idra-21	GABRA1
idra-21	GABRA2
idra-21	GABRB2
nsc-693571	NQO2
cp154,526	CRHR1
2-(2-nitro-benzoyl)-cyclohexane-1,3-dione	HPD
4-(3-phenoxy-propyl)-1h-imidazole	HRH3
epz-6438	EZH2
aln-ttrsc	TTR
cp-105696	LTB4R2
cp-105696	LTB4R
phlorizin	SLC5A1
4-pentyl-n-pyridin-3-yl benzamide	TRPV1
sapropterin hydrochloride	PAH
4',4-dihydroxychalcone	TYR
octane-1-sulfonyl fluoride	CNR1
octane-1-sulfonyl fluoride	FAAH
2-(4-chlorophenyl)-6-phenyl-9h-purine	ADORA2A
2-(4-chlorophenyl)-6-phenyl-9h-purine	ADORA3
2-(4-chlorophenyl)-6-phenyl-9h-purine	ADORA1
gbr-12935	AGTR1
1-(2-(3-chlorophenyl)-1-phenylethyl)piperazine	SLC6A2
1-(2-(3-chlorophenyl)-1-phenylethyl)piperazine	SLC6A4
2-(1-benzyl-1h-indol-3-yl)-n,n-dimethylethanamine	HTR6
d[orn4,lys8]vp	AVPR1B
d[orn4,lys8]vp	AVPR2
d[orn4,lys8]vp	OXTR
d[orn4,lys8]vp	AVPR1A
rx-77368	TRH
acebutolol	ADRB1
pelitinib	EGFR
4-((1h-imidazol-1-yl)methyl)-2h-chromen-2-one	CYP19A1
compound 12	MAPK14
compound 12	GGPS1
compound 12	BDKRB2
compound 12	FDFT1
compound 12	LPAR3
2-(phenylethynyl)pyrimidine	GRM5
ave-1642	IGF1R
sar-104772	CPB2
6-phenylmethanesulfonyl-2h-pyridazin-3-one	AKR1B1
1-(4-bromophenethyl)-1h-imidazole	CYP17A1
ggf-2	NRG1
1-(3-fluoro-phenyl)-piperazine	HTR1A
1-(3-fluoro-phenyl)-piperazine	HTR1D
8-oh-manzamine a	GSK3B
8-furan-2-yl-2-morpholin-4-ylchromen-4-one	PRKDC
n-(4-tert-butylphenyl)-4-(pyridin-2-yl)benzamide	TRPV1
luf-5764	ADORA1
am-630	CNR1
am-630	CNR2
4-(4-phenoxybenzoyl)phenylacetic acid	SRD5A2
bbt-007	CSF2RA
3-isopr-sal-cyclosal-d4tmp	BCHE
isis 102604	PRKACA
3-(3-methyl-butoxy)-9h-beta-carboline	GABRA1
5'-(n-ethyl-n-isopropyl)amiloride	SLC9A1
gsk-923295	CENPE
8-(3-azido-phenyl)-6-pyridin-4-ylmethyl-quinoline	PDE4A
org-7797	SCN1A
4'-phosphopantetheine	COASY
4-naphthalen-1-yl-5-piperidin-4-yl-isoxazol-3-ol	GABRA1
4-naphthalen-1-yl-5-piperidin-4-yl-isoxazol-3-ol	GABRG2
4-naphthalen-1-yl-5-piperidin-4-yl-isoxazol-3-ol	GABRB2
bvt-74316	HTR6
n1-hydroxy-n8-(4-phenylthiazol-2-yl)octanediamide	HDAC6
n1-hydroxy-n8-(4-phenylthiazol-2-yl)octanediamide	HDAC1
kms-88009	APP
d-phe-cys-tyr-d-trp-arg-thr-pen-thr-nh2(ctap)	OPRD1
d-phe-cys-tyr-d-trp-arg-thr-pen-thr-nh2(ctap)	OPRM1
haloxysterol d	BCHE
haloxysterol d	ACHE
bix 02565	RPS6KA3
am-1710	CNR1
am-1710	CNR2
avn 322	HTR6
zucapsaicin	TRPV1
s-111	PARP1
(5z,9z)-5,9-heptacosadienoic acid	TOP1
ka-10x	NRAS
card-024	REN
4-(2-(2-fluorobenzyloxy)phenyl)piperidine	HTR1A
4-(2-(2-fluorobenzyloxy)phenyl)piperidine	SLC6A2
4-(2-(2-fluorobenzyloxy)phenyl)piperidine	SLC6A4
4-(2-(2-fluorobenzyloxy)phenyl)piperidine	SLC6A3
ban2401	APP
dromostanolone	AR
cd-160130	PDE4A
cd-160130	PDE4D
cd-160130	PDE4B
lcq908	DGAT1
bay-86-7548	BRS3
isoguanosine	ADORA2A
isoguanosine	ADORA2B
isoguanosine	ADORA1
(d)arg-arg-pro-hyp-gly-phe-ser-(d)phe-phe-arg	BDKRB2
lg100754	RXRB
lg100754	RXRA
lg100754	PPARG
lg100754	RXRG
ym-96765	F10
compound 5m	FDFT1
compound 5m	BMP2K
h-dmt-d-arg(no2)-phe-lys(z)-nh2	OPRD1
h-dmt-d-arg(no2)-phe-lys(z)-nh2	OPRM1
tyr-d-ala-phe-asp-val-val-thr[beta-d-glc]-gly-nh2	OPRD1
tyr-d-ala-phe-asp-val-val-thr[beta-d-glc]-gly-nh2	OPRM1
3-(pyridin-4-yl)-1h-indol-6-amine	IMPDH2
anakinra	IL1R1
midomafetamine	SLC6A2
midomafetamine	SLC18A2
midomafetamine	SLC6A4
5-[(2-methyl-4-thiazolyl)ethynyl]pyrimidine	GRM5
somatotropin	GHR
somatotropin	PRLR
corticosteroids	ESRRA
(+/-)-threo-n-(3-phenylpropyl)ritalinol	SLC6A3
isis 298745	HIF1A
rk-682	PTPN1
jwh-147	CNR1
jwh-147	CNR2
cgnlstcmlgtytqdfnpkhtfpqtaigvgap-amide	CALCR
albafuran a	PTPN1
fk-3311	PTGS2
epi-2010	ADORA1
dimethyl-w84	CHRM1
1-(pyridin-2-yl)piperazine	ADRA2B
1-(pyridin-2-yl)piperazine	ADRA1A
1-(pyridin-2-yl)piperazine	PLD1
1-(pyridin-2-yl)piperazine	ADRA1D
1-(pyridin-2-yl)piperazine	ADRA2A
a-935142	KCNH2
cremastrine	CHRM1
cremastrine	CHRM4
cremastrine	CHRM3
darotropium	CHRM1
oxitropium bromide	CHRM4
s-(n-methyl-n-hydroxycarbamoyl)glutathione	GLO1
reslizumab	IL5
cyclopentyl 10h-phenothiazine-10-carboxylate	BCHE
estratab	ESR1
l-249313	ADORA3
l-249313	ADORA1
bgs-649	CYP19A1
6-chloro-4-morpholin-4-yl-chromen-2-one	PRKDC
alpha-1-proteinase inhibitor	ELANE
[cu(cn)2]-	CA4
[cu(cn)2]-	CA1
piperrolein b	ICAM1
fv-hyp-tdvgpfaf	CALCRL
azd2207	CNR1
biib 022	IGF1R
cyclosal-d4tmp	BCHE
4-(2-benzylamino-ethoxy)-1,3-dihydro-indol-2-one	DRD2
4-(2-benzylamino-ethoxy)-1,3-dihydro-indol-2-one	DRD3
4-(2-benzylamino-ethoxy)-1,3-dihydro-indol-2-one	DRD4
(3-amino-propyl)-hexyl-phosphinic acid	GABBR2
burimamide	HRH2
burimamide	HRH3
burimamide	HRH4
cymserine	BCHE
ici-164384	ESR2
ici-164384	ESR1
hydrosulfide	CA2
hydrosulfide	CA1
hydrosulfide	CA9
sch-54470	ECE1
sch-54470	ACE
sch-54470	MME
ro-5212651	GPR119
tamarixetin	CYP1B1
2-morpholino-6-(quinolin-8-yl)-4h-pyran-4-one	PRKDC
1-(1,3-diphenylpropyl)piperazine	SLC6A4
sanggenon g	PTPN1
sb 239063	PTGS2
sns-314 prodrugs	AURKC
talactoferrin	LTF
insulin aspart	INSR
triptocalline a	AKR1B1
3-phenylcyclopentanecarboxylic acid	AKR1C3
sch-32615	MME
rs-1636	MAOB
jwh-368	CNR1
jwh-368	CNR2
df-1111301	PTAFR
kf-17837	ADORA2A
kf-17837	ADORA2B
kf-17837	ADORA1
h-tyr-pro-ala-phe-nh2	TACR1
h-tyr-pro-ala-phe-nh2	OPRM1
ipratropium	CHRM3
4-pyridin-2-yl-5-quinolin-4-yl-thiazol-2-ylamine	TGFBR1
calcipotriol	VDR
6-amino-2-(1h-imidazol-4-yl)-hexanoic acid	CPB2
n-(4-sulfamoyl-phenyl)-butyramide	CA12
n-(4-sulfamoyl-phenyl)-butyramide	CA2
n-(4-sulfamoyl-phenyl)-butyramide	CA1
n-(4-sulfamoyl-phenyl)-butyramide	CA9
diphenoxylate	OPRM1
n5-iminoethyl-l-ornithine	NOS3
arry-520	KIF11
cxb-909	NGF
3-(3-bromophenylethynyl)-5-methyl[1,2,4]triazine	GRM5
linolenic acid	PTGS2
l-708568	TACR1
dadme-immh	PNP
r-n6-(phenylisopropyl)adenosine	ADORA2A
