DrugBank ID,Accession Numbers,Common name,CAS,UNII,Synonyms,Standard InChI Key
DB00046,BTD00065 | BIOD00065 | DB01310,Insulin Lispro,133107-64-9,GFX7QIS1II,"Insulin lispro (genetical recombination) | Insulin lispro (rDNA origin) | Insulin lispro protamine | Insulin lispro protamine recombinant | Insulin lispro recombinant | Insulin,lispro,human/rDNA | Insulin,lispro,protamine/rDNA",
DB00047,BTD00045 | BIOD00045 | DB01308,Insulin Glargine,160337-95-1,2ZM8CX04RZ,Insulin Glargine (rDNA origin) | Insulin glargine recombinant,
DB00048,BTD00010 | BIOD00010 | DB11249,Collagenase clostridium histolyticum,9001-12-1,9X7O8V25IT,Clostridium histolyticum enzymes | Collagenase,
DB00049,BTD00090 | BIOD00090,Rasburicase,134774-45-1,08GY9K1EUO,Urate oxidase | Uricase,
DB00050,BTD00115 | APRD00686 | BIOD00115,Cetrorelix,120287-85-6,OON1HFZ4BA,Cetrorelixum,SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00051,BTD00049 | BIOD00049,Adalimumab,331731-18-1,FYS6T7F842,"",
DB00052,BTD00086 | BIOD00086 | DB06417,Somatotropin,12629-01-5,NQX9KB6PCL,Growth hormone | Growth hormone (human) | hGH | Human growth hormone | Recombinant human growth hormone | rhGH | Somatotropin (human) | Somatotropin human | Somatotropin human growth hormone | Somatropin | Somatropin (rDNA origin) | Somatropin (recombinant DNA origin) | Somatropin [rDNA origin] | Somatropin recombinant | Somatropin(recombinant DNA origin),
DB00053,BTD00026 | BIOD00026,Imiglucerase,154248-97-2,Q6U6J48BWY,"",
DB00054,BTD00041 | BIOD00041,Abciximab,143653-53-6,X85G7936GV,7E3 | 7E3 antibody | Abciximab (genetical recombination) | antiGPIIBIIIa | c7E3,
DB00055,BTD00068 | BIOD00068,Drotrecogin alfa,98530-76-8,JGH8MYC891,"Activated protein C | Blood coagulation factor XIV (human) | Drotrecogin alfa (activated) | Drotrecogin alfa (activated), lyophilized | Drotrecogin alfa activated | Drotrecogin alfa, activated | Drotrecogin-alfa | Recombinant human activated protein C (rH-APC)",
DB00056,BTD00077 | BIOD00077,Gemtuzumab ozogamicin,220578-59-6,8GZG754X6M,"",
DB00057,BTD00108 | BIOD00108,Indium In-111 satumomab pendetide,138955-27-8,7V9926378A,Indium (111In) satumomab pendetide | Indium In 111 satumomab pendetide | Indium-111 satumomab pendetide,
DB00058,BTD00002 | BIOD00002,Alpha-1-proteinase inhibitor,9041-92-3,F43I396OIS,"Alfa1 antitrypsin | Alpha 1-antitrypsin | Alpha 1-Proteinase Inhibitor | Alpha 1-proteinase inhibitor (human) | Alpha 1-proteinase inhibitor, human | Alpha-1 protease inhibitor | Alpha-1 proteinase inhibitor (human) | Alpha-1-antiproteinase | Alpha-1-antitrypsin | Alpha-1-proteinase Inhibitor (human) | Alpha-1-proteinase inhibitor human | Alpha-1-proteinase Inhibitor, Human | Alpha-1-proteinase inhibitor,human | Alpha1-proteinase Inhibitor | Alpha1-proteinase inhibitor (human) | alpha1-proteinase inhibitor human | API",
DB00059,BTD00079 | BIOD00079,Pegaspargase,130167-69-0,7D96IR0PPM,Peg-asparaginase | Peg/L-asparaginase,
DB00060,BTD00093 | BIOD00093,Interferon beta-1a,145258-61-3,XRO4566Q4R,"Interferon beta 1-a | Interferon beta 1a | Interferon beta-1a (recombinant human) | Interferon beta-1a,recombinant | Interferon-beta-1a",
DB00061,BTD00100 | BIOD00100,Pegademase bovine,9026-93-1,HW3H7D91F6,Adenosine aminohydrolase | Adenosine deaminase,
DB00062,BTD00059 | BTD00089 | BTD00101 | BIOD00059 | BIOD00089 | BIOD00101 | DB00096 | DB00064,Human Serum Albumin,9048-46-8,ZIF514RVZR,"Albumin (human) | Albumin human | Albumin microspheres, human | Albumin, blood | Albumin, human | Human albumin | Microspheres of human albumin | Serum albumin",
DB00063,BTD00063 | BIOD00063,Eptifibatide,188627-80-7,NA8320J834,Integrelin | Intrifiban,
DB00065,BTD00004 | BIOD00004,Infliximab,170277-31-3,B72HH48FLU,"",
DB00066,BTD00099 | BTD00064 | BIOD00099 | BIOD00064 | DB09024,Follitropin,146479-72-3,076WHW89TW,Follicle stimulating hormone | Follitrophin alfa | Follitrophin alpha | Follitrophin beta | Follitropin alfa | Follitropin alfa/beta | Follitropin alpha | Follitropin beta | Follitropin delta | Follitropin gamma | Follotropin recombinant | FSH | FSH alpha | FSH-a | FSH-b | FSH-beta | Recombinant human follicle stimulating hormone beta | Recombinant human follicle-stimulating hormone (r-HFSH) | rFSH-alpha,
DB00067,BTD00110 | BIOD00110 | DB09392,Vasopressin,11000-17-2,Y87Y826H08,"Vasopressin, unspecified",
DB00068,BTD00078 | BIOD00078,Interferon beta-1b,145155-23-3,TTD90R31WZ,"Interferon beta 1b (recombinant) | Interferon beta-1b,recombinant | Interferon-beta-1b | Recombinant interferon beta-1b",
DB00069,BTD00062 | BIOD00062,Interferon alfacon-1,118390-30-0,56588OP40D,"CIFN | consensus interferon | IFN Alfacon-1 | Interferon Consensus, Methionyl | methionyl interferon consensus | methionyl-interferon-consensus | rCon-IFN | Recombinant Consensus Interferon | Recombinant methionyl human consensus interferon",
DB00070,BTD00022 | BIOD00022,Hyaluronidase,488712-31-8,64R4OHP8T0,"HYAL-1 | Hyaluronidase (glycoprotein, sheep testis isoenzyme) | Hyaluronidase (ovine) | Hyaluronidase (sheep testis isoenzyme) | Hyaluronidase 1 precursor | Hyaluronidase PH-20 | Hyaluronidase, ovine | Ovine hyaluronidase | Sperm adhesion molecule 1 | Sperm surface protein PH-20",
DB00071,BTD00031 | BIOD00031,Insulin Pork,12584-58-6,AVT680JB39,"Insulin (pork) | Insulin porcine | Insulin purified porcine | Insulin purified pork | Insulin, porcine | Insulin, regular, pork | Porcine insulin",
DB00072,BTD00098 | BIOD00098,Trastuzumab,180288-69-1,P188ANX8CK,Anti HER2,
DB00073,BTD00014 | BIOD00014,Rituximab,174722-31-7,4F4X42SYQ6,AntiCD20,
DB00074,BTD00073 | BIOD00073,Basiliximab,179045-86-4,9927MT646M,chimeric mouse-human antiCD25,
DB00075,BTD00005 | BIOD00005,Muromonab,140608-64-6,JGA39ICE2V,Anti-CD3 | Muromonab-CD3,
DB00076,BTD00046 | BTD00027 | BIOD00046 | BIOD00027,Digoxin Immune Fab (Ovine),,YB12NQZ1YN,"Digitalis antitoxin | Digoxin Immune Fab, Ovine | Digoxin-specific Antibody Fragments | Ovine digoxin immune fab",
DB00078,BTD00069 | BIOD00069,Ibritumomab tiuxetan,206181-63-7,4Q52C550XK,Ibritumomab | mAb Murine (IGG1) Anti P19437 (CD20_MOUSE),
DB00080,BTD00111 | BIOD00111,Daptomycin,103060-53-3,NWQ5N31VKK,"",DOAKLVKFURWEDJ-RWDRXURGSA-N
DB00081,BTD00085 | BIOD00085 | DB09557,Tositumomab,208921-02-2,0343IGH41U,"",
DB00082,BTD00044 | BIOD00044,Pegvisomant,218620-50-9,N824AOU5XV,"",
DB00083,BTD00092 | BIOD00092,Botulinum Toxin Type A,93384-43-1,E211KPY694,AbobotulinumtoxinA | BoNT/A | Bontoxilysin A | Botulinum neurotoxin type A precursor | BTX-A | IncobotulinumtoxinA | OnabotulinumtoxinA,
DB00085,BTD00067 | BIOD00067 | DB05356,Pancrelipase,53608-75-6,FQ3DRG0N5K,Pancrealipase | Pancreatic extract pancrelipase | Pancreatic protease | Pancreatin | Pancreatinum | Pancrelipase (amylase;lipase;protease),
DB00086,BTD00028 | BIOD00028,Streptokinase,9002-01-1,8X1OXL3SNU,Streptokinase C precursor,
DB00087,BTD00109 | BIOD00109,Alemtuzumab,216503-57-0,3A189DH42V,"",
DB00088,BTD00037 | BIOD00037,Alglucerase,143003-46-7,27T56C7KK0,"",
DB00089,BTD00080 | BIOD00080,Capromab pendetide,145464-28-4,BDO5072GRX,(111In)-Capromab pendetide | Indium (111In) capromab pendetide | Indium 111 Capromab Pendetide | Indium In 111 capromab pendetide,
DB00090,BTD00008 | BIOD00008,Laronidase,210589-09-6,WP58SVM6R4,Alpha-L-iduronidase precursor,
DB00091,BTD00003 | BIOD00003,Cyclosporine,59865-13-3,83HN0GTJ6D,Ciclosporin | Ciclosporina | Ciclosporine | Ciclosporinum | CsA | CyA | Cyclosporin | Cyclosporin A,PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00092,BTD00055 | BIOD00055,Alefacept,222535-22-0,ELK3V90G6C,ASP0485,
DB00093,BTD00114 | BIOD00114,Felypressin,56-59-7,17N2918V6G,2-(L-phenylalanine)-8-L-lysinevasopressin | Felipresina | Felypressin | Felypressine | Felypressinum | PLV-2,SFKQVVDKFKYTNA-DZCXQCEKSA-N
DB00094,BTD00104 | BIOD00104,Urofollitropin,97048-13-0,W9BB98U6HP,Follitropin human | Urofollitrophin,
DB00095,BTD00074 | BIOD00074,Efalizumab,214745-43-4,XX2MN88N5D,anti alphaL integrin | antiCD11 alpha | hu1124,
DB00097,BTD00034 | BIOD00034,Choriogonadotropin alfa,177073-44-8,6413W06WR3,Choriogonadotropin alpha | Chorionic gonadotropin (recombinant),
DB00098,BTD00040 | BIOD00040,Antithymocyte immunoglobulin (rabbit),,D7RD81HE4W,"Anti-human thymocyte immunoglobulin, rabbit | Anti-T-lymphocyte immune globulin, rabbit | Anti-thymocyte globulin (rabbit) | Anti-thymocyte globulin rabbit | Antithymocyte immunoglobulin | Rabbit anti-human thymocyte globulin | Rabbit anti-human thymocyte globulin (rATG) | Rabbit anti-human thymocyte immunoglobulin | Rabbit anti-thymocyte immunoglobulin | Rabbit antithymocyte globulin | Rabbit ATG | rATG | Thymoglobulin | Thymoglobuline",
DB00099,BTD00072 | BIOD00072 | DB09560,Filgrastim,121181-53-1,PVI5M0M1GW,Filgrastim-sndz | G-CSF  | Granulocyte Colony Stimulating Factor  | Tbo-filgrastim,
DB00100,BTD00038 | BIOD00038,Coagulation Factor IX (Recombinant),181054-95-5,382L14738L,Coagulation factor IX (recombinant) | Coagulation factor IX recombinant human | Factor IX (Recombinant) | nonacog alfa | Recombinant factor IX,
DB00102,BTD00053 | BIOD00053,Becaplermin,165101-51-9,1B56C968OA,c-sis | PDGF B-chain | PDGF-2 | PDGF-BB | PDGFB | Platelet-derived growth factor B chain precursor | Platelet-derived growth factor beta polypeptide | SH-POLYPEPTIDE-59,
DB00103,BTD00075 | BIOD00075,Agalsidase beta,104138-64-9,RZD65TSM9U,Agalsidase alfa | Alpha-D- galactoside galactohydrolase | Alpha-D-galactosidase A | Alpha-galactosidase A precursor | Melibiase,
DB00104,BTD00088 | BIOD00088,Octreotide,83150-76-9,RWM8CCW8GP,Octreotida | Octreotidum | Octrotide,DEQANNDTNATYII-OULOTJBUSA-N
DB00105,BTD00066 | BIOD00066 | DB05600,"Interferon Alfa-2b, Recombinant",98530-12-2,43K1W2T1M6,Interferon alfa-2b | Interferon α-2b | Intron (Interferon α2b) | Intron A (Interferon α2b) | rIFN-alpha-2b,
DB00106,BTD00051 | BIOD00051,Abarelix,183552-38-7,W486SJ5824,"",AIWRTTMUVOZGPW-HSPKUQOVSA-N
DB00107,BTD00016 | BIOD00016,Oxytocin,50-56-6,1JQS135EYN,"",
DB00108,BTD00083 | BIOD00083,Natalizumab,189261-10-7,3JB47N2Q2P,Anti-alpha4 integrin | Anti-VLA4,
DB00109,BTD00106 | BIOD00106,Enfuvirtide,159519-65-0,19OWO1T3ZE,"",
DB00110,BTD00097 | BIOD00097,Palivizumab,188039-54-5,DQ448MW7KS,anti-RSV,
DB00111,BTD00007 | BIOD00007,Daclizumab,152923-56-3,CUJ2MVI71Y,Dacliximab | Daclizumab beta,
DB00112,BTD00087 | BIOD00087,Bevacizumab,216974-75-3,2S9ZZM9Q9V,antiVEGF | bevacizumab-awwb,
DB00113,BTD00107 | BIOD00107,Technetium Tc-99m arcitumomab,154361-49-6,029JF1SCU8,Arcitumomab technetium-99m | Technetium (99mTc) arcitumomab | Technetium Tc 99m arcitumomab | Technetium-99m arcitumomab,
DB00114,NUTR00045,Pyridoxal Phosphate,54-47-7,F06SGE49M6,3-hydroxy-2-methyl-5-((phosphonooxy)methyl)-4-pyridinecarboxaldehyde | 3-hydroxy-5-(hydroxymethyl)-2-methylisonicotinaldehyde 5-phosphate | Codecarboxylase | PLP | Pyridoxal 5-monophosphoric acid ester | Pyridoxal 5-phosphate | Pyridoxal 5'-phosphate | Pyridoxal P | Pyridoxal phosphate anhydrous | Pyridoxal-5P | Pyridoxal-P,NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00115,NUTR00004 | APRD00326 | EXPT00965,Cyanocobalamin,68-19-9,P6YC3EG204,Cyanocob(III)alamin | Vitamin B12 | Vitamin B12 complex | Vitamin B12 NOS,RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00116,NUTR00056,Tetrahydrofolic acid,135-16-0,43ZWB253H4,"5,6,7,8-tetrahydrofolate | 5,6,7,8-tetrahydrofolic acid | Tetrahydrofolate",MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00117,NUTR00030,Histidine,71-00-1,4QD397987E,(S)-4-(2-Amino-2-carboxyethyl)imidazole | (S)-a-Amino-1H-imidazole-4-propanoic acid | (S)-alpha-amino-1H-Imidazole-4-propanoic acid | (S)-alpha-Amino-1H-imidazole-4-propionic acid | (S)-α-amino-1H-Imidazole-4-propanoic acid | HIS | Histidina | L-(−)-histidine | L-Histidin | L-Histidine,HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00118,NUTR00052,Ademetionine,29908-03-0,7LP2MPO46S,AdoMet | S-Adenosylmethionine | SAM | SAM-e | SAMe,MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00119,NUTR00050 | DB11194,Pyruvic acid,127-17-3,8558G7RUTR,2-ketopropionic acid | 2-oxopropanoic acid | 2-Oxopropansäure | 2-Oxopropionsäure | a-Ketopropionic acid | Acetylformic acid | acide pyruvique | alpha-ketopropionic acid | Brenztraubensäure | BTS | Pyroracemic acid | α-ketopropionic acid | α-Oxopropionsäure,LCTONWCANYUPML-UHFFFAOYSA-N
DB00120,NUTR00044,L-Phenylalanine,63-91-2,47E5O17Y3R,(S)-2-Amino-3-phenylpropionic acid | (S)-alpha-Amino-beta-phenylpropionic acid | 3-phenyl-L-alanine | beta-Phenyl-L-alanine | F | Phe | Phenylalanine | β-phenyl-L-alanine,COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00121,NUTR00019,Biotin,58-85-5,6SO6U10H04,"(+)-cis-Hexahydro-2-oxo-1H-thieno[3,4]imidazole-4-valeric acid | (3AS,4S,6ar)-hexahydro-2-oxo-1H-thieno[3,4-D]imidazole-4-valeric acid | 5-(2-Oxohexahydro-1H-thieno[3,4-D]imidazol-4-yl)pentanoic acid | Biotin | Biotina | Biotine | Biotinum | cis-(+)-Tetrahydro-2-oxothieno[3,4]imidazoline-4-valeric acid | cis-Hexahydro-2-oxo-1H-thieno(3,4)imidazole-4-valeric acid | cis-Tetrahydro-2-oxothieno(3,4-D)imidazoline-4-valeric acid | Coenzyme R | D-(+)-Biotin | D-Biotin | D(+)-Biotin | Vitamin B7 | Vitamin H",YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00122,NUTR00020,Choline,62-49-7,N91BDP6H0X,"Bilineurine | Choline | Choline ion | N-trimethylethanolamine | N,N,N-trimethylethanol-ammonium | trimethylethanolamine",OEYIOHPDSNJKLS-UHFFFAOYSA-N
DB00123,NUTR00037 | DB11101,L-Lysine,56-87-1,K3Z4F929H6,"(S)-2,6-diaminohexanoic acid | (S)-lysine | (S)-α,ε-diaminocaproic acid | 6-ammonio-L-norleucine | L-2,6-Diaminocaproic acid | L-lys | L-Lysin | LYS | Lysina | Lysine | Lysine acid | Lysinum",KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00125,NUTR00014,L-Arginine,74-79-3,94ZLA3W45F,(2S)-2-amino-5-(carbamimidamido)pentanoic acid | (2S)-2-amino-5-guanidinopentanoic acid | (S)-2-amino-5-guanidinopentanoic acid | (S)-2-Amino-5-guanidinovaleric acid | Arg | Arginine | L-(+)-Arginine | L-Arg | L-Arginin | R,ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00126,NUTR00001 | APRD00084 | EXPT00568 | DB11167 | DB11316 | DB11170 | DB09541 | DB11317,Vitamin C,50-81-7,PQ6CK8PD0R,acide ascorbique | ácido ascórbico | acidum ascorbicum | acidum ascorbinicum | Ascorbate | Ascorbic Acid | Ascorbicap | Ascorbinsäure | L-(+)-ascorbic acid | L-Ascorbate | L-Ascorbic Acid,CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00127,NUTR00055 | EXPT02947 | DB02564,Spermine,71-44-3,2FZ7Y3VOQX,"4,9-Diaza-1,12-dodecanediamine | 4,9-Diazadodecane-1,12-diamine | N,N'-Bis(3-aminopropyl)-1,4-butanediamine | Spermine",PFNFFQXMRSDOHW-UHFFFAOYSA-N
DB00128,NUTR00016 | EXPT01823,L-Aspartic Acid,56-84-8,30KYC7MIAI,(S)-2-aminobutanedioic acid | (S)-2-aminosuccinic acid | 2-Aminosuccinic acid | Asp | Aspartic acid | D | L-Asp | L-Asparaginsaeure | L-Asparaginsäure | L-Aspartate | L-Aspartic acid,CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00129,NUTR00043,Ornithine,70-26-8,E524N2IXA3,"(S)-2,5-Diaminopentanoate | (S)-2,5-Diaminopentanoic acid | (S)-2,5-diaminovaleric acid | (S)-alpha,delta-Diaminovaleric acid | (S)-ornithine | (S)-α,δ-diaminovaleric acid | L-Ornithine | levo-ornithine",AHLPHDHHMVZTML-BYPYZUCNSA-N
